user,age,status,gender,drinks,height,smokes,religion,genre,music_decade,music_vibe,listening_frequency,concert,Cluster
user215,34,single,male,no,170.0,no,buddhism,pop indonesia,1970s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts",1
user216,28,single,female,yes,175.0,yes,confucianism,metal,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event",0
user217,30,single,female,yes,157.0,no,confucianism,country,2010s,Romantic and Smooth,Only in specific situations,"No, I prefer not to attend concerts",0
user218,27,single,female,yes,175.0,no,roman catholicism,metal,1970s,Relaxing and Chill,Rarely,"Sometimes, depending on the artist or event",0
user219,25,in a relationship,female,yes,170.0,yes,islam,pop,1970s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event",0
user220,36,single,female,yes,168.0,no,buddhism,pop,2020s,Emotional and Deep,Never,"No, I prefer not to attend concerts",0
user221,34,single,male,yes,168.0,no,confucianism,r&b,2010s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts",1
user222,23,single,female,yes,168.0,no,buddhism,j-pop,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts",0
user223,59,single,male,yes,180.0,no,hinduism,classical,2020s,Emotional and Deep,Occasionally,"Yes, I love attending concerts",2
user224,26,single,male,yes,183.0,no,confucianism,classical,1970s,Dark and Intense,Never,"Sometimes, depending on the artist or event",2
user225,25,single,female,yes,180.0,no,confucianism,pop indonesia,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts",0
user226,23,single,male,no,173.0,no,islam,classical,2010s,Emotional and Deep,Never,"Yes, I love attending concerts",2
user227,34,single,male,yes,185.0,no,buddhism,classical,1990s,Dark and Intense,Only in specific situations,"Yes, I love attending concerts",3
user228,29,single,male,yes,196.0,no,islam,j-pop,1980s,Upbeat and Energetic,Only in specific situations,"Yes, I love attending concerts",2
user229,40,single,male,yes,183.0,no,buddhism,indie/alternative,1990s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event",2
user230,42,single,female,yes,173.0,yes,hinduism,classical,1980s,Romantic and Smooth,Frequently,"Yes, I love attending concerts",3
user231,27,single,female,yes,175.0,yes,hinduism,edm,1970s,Relaxing and Chill,Only in specific situations,"Yes, I love attending concerts",3
user232,21,single,male,yes,175.0,no,hinduism,pop,1990s,Romantic and Smooth,Occasionally,"No, I prefer not to attend concerts",1
user233,25,single,male,yes,183.0,yes,buddhism,soul,2000s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts",1
user234,28,single,male,yes,180.0,no,buddhism,hip-hop/rap,1970s,Relaxing and Chill,Rarely,"Yes, I love attending concerts",3
user235,24,single,male,yes,188.0,yes,protestant christianity,jazz,2000s,Upbeat and Energetic,Rarely,"Yes, I love attending concerts",4
user236,20,single,male,no,163.0,no,buddhism,jazz,2020s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts",1
user237,27,single,male,no,193.0,no,roman catholicism,j-pop,1980s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts",4
user238,29,single,male,yes,175.0,no,hinduism,indie/alternative,1980s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event",2
user239,27,single,female,yes,170.0,no,roman catholicism,metal,1970s,Romantic and Smooth,Never,"No, I prefer not to attend concerts",0
user240,25,single,female,yes,163.0,no,confucianism,hip-hop/rap,2000s,Relaxing and Chill,Rarely,"Sometimes, depending on the artist or event",0
user241,31,single,male,yes,188.0,no,islam,pop indonesia,2010s,Romantic and Smooth,Only in specific situations,"Yes, I love attending concerts",2
user242,36,single,male,yes,180.0,no,islam,punk,2020s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts",1
user243,49,single,female,yes,157.0,no,confucianism,r&b,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts",0
user244,30,single,male,yes,190.0,yes,islam,soul,1990s,Romantic and Smooth,Only in specific situations,"Sometimes, depending on the artist or event",2
user245,27,single,male,yes,168.0,yes,protestant christianity,rock,2020s,Romantic and Smooth,Never,"No, I prefer not to attend concerts",1
user246,26,in a relationship,male,yes,178.0,no,roman catholicism,punk,1970s,Romantic and Smooth,Never,"Yes, I love attending concerts",4
user247,30,single,female,yes,163.0,no,protestant christianity,traditional & folk music,2020s,Relaxing and Chill,Occasionally,"Yes, I love attending concerts",3
user248,38,single,female,yes,175.0,no,buddhism,soul,1970s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts",0
user249,30,single,female,yes,160.0,no,islam,classical,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event",0
user250,29,single,female,yes,152.0,no,confucianism,edm,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event",0
user251,25,single,female,yes,155.0,no,buddhism,classical,1980s,Dark and Intense,Rarely,"No, I prefer not to attend concerts",3
user252,23,single,male,yes,168.0,no,confucianism,hip-hop/rap,2000s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts",1
user253,65,single,female,yes,150.0,no,roman catholicism,metal,2010s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts",0
user254,50,in a relationship,female,yes,165.0,no,buddhism,blues,2010s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event",0
user255,36,single,male,yes,173.0,no,buddhism,traditional & folk music,2000s,Dark and Intense,Rarely,"No, I prefer not to attend concerts",1
user256,32,single,female,yes,163.0,no,confucianism,pop indonesia,1970s,Relaxing and Chill,Frequently,"Yes, I love attending concerts",3
user257,26,single,female,yes,157.0,no,hinduism,country,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event",0
user258,34,single,female,yes,163.0,no,hinduism,dangdut,1970s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event",0
user259,37,single,female,yes,170.0,no,islam,country,1980s,Relaxing and Chill,Rarely,"Yes, I love attending concerts",3
user260,54,single,male,yes,175.0,yes,confucianism,classical,2010s,Romantic and Smooth,Never,"No, I prefer not to attend concerts",1
user261,30,single,male,yes,175.0,no,roman catholicism,dangdut,2020s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts",4
user262,38,single,female,yes,160.0,no,islam,soul,1970s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event",0
user263,26,single,male,yes,170.0,yes,hinduism,j-pop,2010s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts",1
user264,20,single,male,yes,175.0,yes,buddhism,hip-hop/rap,1980s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event",2
user265,49,single,male,yes,188.0,no,islam,ballad,2000s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts",1
user266,28,single,female,yes,163.0,no,confucianism,r&b,2010s,Romantic and Smooth,Occasionally,"Sometimes, depending on the artist or event",0
user267,22,single,male,yes,170.0,no,buddhism,blues,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts",1
user268,46,single,male,yes,178.0,no,buddhism,country,1970s,Dark and Intense,Never,"Sometimes, depending on the artist or event",2
user269,29,single,male,yes,188.0,no,protestant christianity,edm,2010s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event",2
user270,35,single,female,yes,165.0,yes,roman catholicism,classical,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts",0
user271,31,single,male,yes,175.0,no,protestant christianity,edm,1980s,Emotional and Deep,Never,"No, I prefer not to attend concerts",1
user272,35,single,female,yes,157.0,no,protestant christianity,jazz,1970s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event",0
user273,48,single,male,yes,170.0,no,hinduism,pop indonesia,2020s,Upbeat and Energetic,Only in specific situations,"Yes, I love attending concerts",2
user274,60,single,female,yes,173.0,no,buddhism,edm,2000s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts",0
user275,20,single,female,yes,160.0,no,confucianism,dangdut,1990s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts",0
user276,26,single,male,yes,178.0,no,roman catholicism,indie/alternative,1970s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event",4
user277,32,single,female,yes,175.0,no,protestant christianity,edm,1970s,Dark and Intense,Rarely,"Sometimes, depending on the artist or event",0
user278,43,single,male,yes,173.0,no,protestant christianity,rock,1990s,Dark and Intense,Only in specific situations,"Sometimes, depending on the artist or event",2
user279,51,single,male,yes,185.0,no,roman catholicism,blues,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event",2
user280,36,single,female,yes,163.0,no,islam,pop indonesia,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts",0
user281,41,single,female,yes,157.0,no,buddhism,rock,2020s,Relaxing and Chill,Never,"Yes, I love attending concerts",3
user282,24,single,male,yes,178.0,no,roman catholicism,classical,2010s,Dark and Intense,Never,"Sometimes, depending on the artist or event",4
user283,39,single,female,yes,170.0,no,confucianism,k-pop,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event",0
user284,37,single,male,yes,178.0,no,confucianism,indie/alternative,1970s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts",1
user285,32,single,male,yes,180.0,no,confucianism,dangdut,2010s,Relaxing and Chill,Never,"No, I prefer not to attend concerts",1
user286,26,single,male,yes,190.0,no,buddhism,r&b,1970s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event",4
user287,31,single,female,yes,155.0,no,hinduism,pop indonesia,2000s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event",0
user288,29,single,female,no,160.0,no,protestant christianity,metal,2020s,Emotional and Deep,Frequently,"Sometimes, depending on the artist or event",0
user289,25,single,male,yes,183.0,no,confucianism,r&b,1990s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts",1
user290,28,single,female,yes,173.0,no,protestant christianity,reggae,1980s,Romantic and Smooth,Only in specific situations,"No, I prefer not to attend concerts",0
user291,27,single,male,yes,196.0,no,buddhism,classical,2000s,Relaxing and Chill,Occasionally,"Sometimes, depending on the artist or event",4
user292,23,single,female,yes,170.0,no,hinduism,traditional & folk music,1980s,Romantic and Smooth,Rarely,"Yes, I love attending concerts",3
user293,26,single,male,yes,180.0,no,buddhism,rock,1980s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts",1
user294,31,single,female,yes,170.0,no,roman catholicism,dangdut,1970s,Dark and Intense,Rarely,"No, I prefer not to attend concerts",0
user295,22,single,male,yes,173.0,yes,roman catholicism,r&b,2000s,Upbeat and Energetic,Rarely,"No, I prefer not to attend concerts",4
user296,26,single,male,yes,178.0,yes,protestant christianity,reggae,2000s,Dark and Intense,Rarely,"No, I prefer not to attend concerts",4
user297,24,single,female,yes,165.0,no,buddhism,blues,1970s,Relaxing and Chill,Rarely,"Yes, I love attending concerts",3
user298,48,single,female,yes,163.0,no,confucianism,k-pop,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event",0
user299,29,single,male,yes,183.0,yes,roman catholicism,edm,2000s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts",4
